tiktok_id,included,n_ppl,gender,gender_2,lang,country,support_vaccine,hcp,verified_hcp,genre,satire_who,correct,satire_comment,why_incorrect,myth_referenced,caption_helpful,infectious_disease_review,general_comments,satire_y_n,commentary_y_n,story_y_n,skit_y_n,silent_y_n,author,url,likes,shares,comments,author_followers,plays,description
108,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,person is recording their vaccination experience,NA,No myth,NA,No,NA,N,N,N,N,N,dr.noc,https://www.tiktok.com/@dr.noc/video/6924110979265531141,160700,6831,1797,610200,1000000,Reply to @evorgnoslen #covid19 #coronavirus #covidvaccine #medicine #nursing #science #drnoc
109,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Skit, Story Telling, Silent video with visuals",NA,N/A,this is aperson humorously saying that she thinks shes better than everyone because she has the vaccine,NA,No myth,NA,No,NA,N,N,N,N,N,k.a.t.c.h.o.w,https://www.tiktok.com/@k.a.t.c.h.o.w/video/6956278452987202822,159800,327,1265,8110,645400,#covidvaccine #pfizer #mom #latinmoms
110,Yes,Single,Female,female,English,USA,Yes,No,Non applicable,"Stitch (reply to another video), Story telling",NA,Yes,this person is chastizing someone who is forging their vaccination document and stealing blank vaccination cards,NA,No myth,NA,No,NA,N,N,N,N,N,jordankw24,https://www.tiktok.com/@jordankw24/video/6968228896957353222,159000,8491,1926,5091,833600,the way i developed a superiority complex so fast #InTheHeightsChallenge #HoldMyMilk #fyp #covidvaccine
111,Yes,Multiple,Female,M,English,Unclear,Unclear,No,Non applicable,"Prank, Skit",NA,No,just a joke about side effects from vaccine including seizing. joke was done to scare the persons mother,Purposely misleading,We don't know long term side effects,NA,No,NA,N,N,N,N,N,tharealbeccaboo,https://www.tiktok.com/@tharealbeccaboo/video/6942429799340182790,158500,2301,2483,152900,1100000,#greenscreenvideo #greenscreen #BiggerIsBetter #ShowerWithMoxie #covidvaccine #covid19 #covid19vaccine
112,Yes,Single,Male,NA,English,USA,Yes,No,Non applicable,"News, Commentary",NA,Yes,vaccine is safe for children in those age ranges ; https://www.mayoclinic.org/diseases-conditions/coronavirus/in-depth/covid-19-vaccines-for-kids/art-20513332; vaccines are safer than getting covid,NA,No Myth,NA,No,NA,N,N,N,N,N,kbfamily,https://www.tiktok.com/@kbfamily/video/6916317048142417157,157900,11700,2963,85300,3500000,#fyp #foryou #covidvaccine #vaccine
113,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Story Telling, Skit, Satire",Antivaxers,Yes,"covid vaccines are not a bill gates conspiracy and are safe and effective, mild side effects of the vaccine",NA,"We don't know long term side effects, Covid-19 inserts you with a microchip",NA,No,NA,Y,N,N,N,N,yahoonews,https://www.tiktok.com/@yahoonews/video/6961521551204289797,157400,9028,14800,1200000,1100000,Biden is urging everyone 12 and older to get the COVID-19 vaccine. #news #politics #covid19 #vaccine #pfizer #covidvaccine #yahoonews
114,Yes,Single (guinea pig),NA,NA,English,Unclear,Yes,No,Non applicable,"Story Telling,  Skit, using a pet animal to encourage vaccination",NA,N/A,NA,NA,No myth,NA,No,NA,N,N,N,N,N,shannonsmith3239,https://www.tiktok.com/@shannonsmith3239/video/6908067245755321606,156300,26700,2944,154500,1000000,#viagra #botox #covidvaccine #erectiledysfuntion #aging #covid19 #pharmaceutical #priorities  #LoveStory #StrikeAPosay #OutPizzaTheHut
115,Yes,Double,Female,Female,English,USA,Yes,No,Non applicable,Satire,Antivaxers,N/A,the vaccine will not cause you to respond to joe biden,NA,COVID-19 vaccine inserts you with a microchip,NA,No,NA,Y,N,N,N,N,brownie.lily,https://www.tiktok.com/@brownie.lily/video/6959958610713660678,151000,1721,1313,191300,3000000,#itsvaccinationday #covidvaccine #guineapig #brownietheguineapig
116,Yes,Double,Female,Male,English,Unclear,Yes,No,Non applicable,"Commentary, Stitch (reply to another video), Story Tleling",NA,Yes,"all medications have side effects, the vaccine has just received a lot of publicity for the minor side effects that it causes",NA,We don't know long term side effects,NA,No,NA,N,N,N,N,N,earth2skylee,https://www.tiktok.com/@earth2skylee/video/6964154887391218950,149000,680,1224,2899,636700,I CANT #vax #vaccine #covidvaccine #covid #TostitosUnspokenBonds #SpotlightAPI #fyp #greenscreen
117,Yes,Single,Female,NA,English,Unclear,Yes,Yes,Certified Pharmacy Tech,"Commentary, Story Telling",NA,Yes,certain syringes will enclose the needle after administering the vaccine dose,NA,The needle stays in your arm after injection,NA,No,NA,N,N,N,N,N,aki.sr,https://www.tiktok.com/@aki.sr/video/6910990076990213381,149000,1448,562,230800,597800,#stitch with @fieldmanworker Side effects include heart attacks and hairloss and tbh idk which is worse😂 #ADHD #Adhdmeds #adhdproblems #covidvaccine
118,No (Video Unavaliable),Single,Female,NA,English,NA,NA,NA,Non applicable,Dance,NA,No,NA,NA,No myth,NA,No,VIDEO UNAVALAIBLE,N,N,N,N,N,takeyourmultivitamin,https://www.tiktok.com/@takeyourmultivitamin/video/6948909673949023493,148100,6885,0,10100,2300000,@ the people saying the needle stays in your arm🤦‍♀️ #AerieREAL #covid19  #covidvaccine 💉💉 @pharmustafa
119,Yes,Single,Male,NA,English,USA,Yes,Yes,"Google Search, Verified on TikTok","Commentary, Story Telling",NA,Yes,"https://www.goodrx.com/blog/avoid-pain-relievers-before-covid-19-vaccine/
https://newsnetwork.mayoclinic.org/discussion/common-questions-about-covid-19-vaccinations-answered/",NA,No myth,NA,No,https://en.wikipedia.org/wiki/Drew_Pinsky,N,N,N,N,N,drt.leary,https://www.tiktok.com/@drt.leary/video/6971785788547730693,146900,8591,1589,28100,920700,#foryoupage #fypシ #illuminati #freemasons #secretsocieties #covidvaccine #antilockdownprotest #resist #saveourchildrennow #epstein #hollywood #mkultra
120,Yes,Single,Male,NA,English,Unclear,Yes,No,pHD Scientist,"Commentary, Story Telling, Responding to comments",NA,Yes,https://www.reuters.com/article/factcheck-sm102-moderna-idUSL2N2NE20S,NA,Covid has toxic ingredients,NA,No,NA,N,N,N,N,N,drdrew,https://www.tiktok.com/@drdrew/video/6943813808607563014,146800,48700,5225,64400,3500000,Here’s what you need to know before getting your Covid vaccine #covid #covid19 #covidvaccine #vaccine #medicine #drdrew #AskDrDrew #2021
121,No,Single,Female,NA,English,Unclear,"NA",No,Non applicable,Story Telling,NA,N/A,this is not about the covid vaccine,NA,No myth,NA,No,NOT ABOUT Vaccine,N,N,N,N,N,dr.noc,https://www.tiktok.com/@dr.noc/video/6963079087548140806,146100,4527,1888,610200,653700,Reply to @footdocdana 😃 #science #covid19 #covidvaccine #medicine #drnoc #edutok #nursing
122,Yes,Multiple,Female,Male Female,English,Unclear,No,No,Non applicable,"Commentary, Story Telling",NA,No,vaccines dont make you magnetic,"Misinformation, Purposely misleading","Vaccine will make you magnetic, vaccine inserts you with microchip",NA,No,this is an antivaccine tik tok showing how you turn magnetic following the vaccine,N,N,N,N,N,thirdeyeliving,https://www.tiktok.com/@thirdeyeliving/video/6905074821873274118,146000,7227,2206,157800,889900,Reply to @torriex0x0 #nipsey #nipseyhussle #drsebi #drsebiapproved #holistichealth #holistichealing #vaccine #covid #covidvaccine
123,Yes,Double,Female,Female,English,Unclear,Unclear,No,Non applicable,Story Telling,NA,N/A,person does not know that vaccine syringes can autoretract the needle,NA,Vaccine needle stays in your arm,NA,No,this person is most likely pro vaccine but is confused where the needle went after the injection.,N,N,N,N,N,m.babe420,https://www.tiktok.com/@m.babe420/video/6967507633075014918,146000,17700,4958,14200,1300000,SEEN A VIDEO SO WE GAVE IT A TRY AND IT STUCK LMAO 😂 #FORYOUPAGE #fypシ #foryou #covidshot #covidvaccine
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA
NA,20 excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA
